coin,date,lean_dir,lean_strength,lean_basis
BTC,2023-02-22,up,slight_lean,A6b
BTC,2023-02-23,down,slight_lean,A6b
BTC,2023-02-24,down,slight_lean,A6b
BTC,2023-02-27,up,slight_lean,A6b
BTC,2023-02-28,down,slight_lean,A6b
BTC,2023-03-01,up,slight_lean,A6b
BTC,2023-03-02,up,slight_lean,A6b
BTC,2023-03-03,down,slight_lean,A6b
BTC,2023-03-06,down,slight_lean,A6b
BTC,2023-03-07,down,slight_lean,A6b
BTC,2023-03-08,up,slight_lean,A6b
BTC,2023-03-09,down,slight_lean,A6b
BTC,2023-03-10,up,slight_lean,A6b
BTC,2023-03-13,up,slight_lean,A6b
BTC,2023-03-14,down,slight_lean,A6b
BTC,2023-03-15,down,slight_lean,A6b
BTC,2023-03-16,down,slight_lean,A6b
BTC,2023-03-17,down,slight_lean,A6b
BTC,2023-03-20,up,slight_lean,A6b
BTC,2023-03-21,down,slight_lean,A6b
BTC,2023-03-22,down,slight_lean,A6b
BTC,2023-03-23,up,slight_lean,A6b
BTC,2023-03-24,down,slight_lean,A6b
BTC,2023-03-27,down,slight_lean,A6b
BTC,2023-03-28,up,slight_lean,A6b
BTC,2023-03-29,up,slight_lean,A6b
BTC,2023-03-30,down,slight_lean,A6b
BTC,2023-03-31,down,slight_lean,A6b
BTC,2023-04-03,down,slight_lean,A6b
BTC,2023-04-04,up,slight_lean,A6b
BTC,2023-04-05,up,slight_lean,A6b
BTC,2023-04-06,up,slight_lean,A6b
BTC,2023-04-07,down,slight_lean,A6b
BTC,2023-04-10,down,slight_lean,A6b
BTC,2023-04-11,up,slight_lean,A6b
BTC,2023-04-12,up,slight_lean,A6b
BTC,2023-04-13,up,slight_lean,A6b
BTC,2023-04-14,down,slight_lean,A6b
